"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11254","Проверка появления нового заказа в разделе ""В работе""","tests","Fri Jun 20 11:03:09 MSK 2025","passed","Fri Jun 20 11:03:20 MSK 2025","TestFeedPage","test_feed_page","",""
"","2242","Проверка выполнения логаута по кнопке ""Выйти""","tests","Fri Jun 20 10:59:44 MSK 2025","passed","Fri Jun 20 10:59:46 MSK 2025","TestAccountPage","test_account_page","",""
"","12602","Проверка увеличения числа на счетчике ежедневного количества выполненных заказов","tests","Fri Jun 20 11:01:57 MSK 2025","failed","Fri Jun 20 11:02:10 MSK 2025","TestFeedPage","test_feed_page","",""
"","1366","Проверка закрытия окна ""Детали ингредиента"" кликом по крестику","tests","Fri Jun 20 11:04:49 MSK 2025","passed","Fri Jun 20 11:04:50 MSK 2025","TestMainPage","test_main_page","",""
"","2235","Проверка перехода по клику на «История заказов»","tests","Fri Jun 20 10:59:05 MSK 2025","passed","Fri Jun 20 10:59:07 MSK 2025","TestAccountPage","test_account_page","",""
"","10953","Проверка увеличения числа на счетчике общего количества выполненных заказов","tests","Fri Jun 20 11:01:33 MSK 2025","passed","Fri Jun 20 11:01:44 MSK 2025","TestFeedPage","test_feed_page","",""
"","391","Проверка отображения окна ""Детали ингредиента"" при клике на ингредиент","tests","Fri Jun 20 11:04:28 MSK 2025","passed","Fri Jun 20 11:04:29 MSK 2025","TestMainPage","test_main_page","",""
"","903","Проверка перехода в профиль по клику на ""Личный кабинет"" в хэдере","tests","Fri Jun 20 10:58:49 MSK 2025","passed","Fri Jun 20 10:58:49 MSK 2025","TestAccountPage","test_account_page","",""
"","3947","Проверка перехода к восстановлению пароля при вводе валидного email и нажатии кнопки ""Восстановить""","tests","Fri Jun 20 11:06:39 MSK 2025","passed","Fri Jun 20 11:06:42 MSK 2025","TestPasswdRecoveryPage","test_password_recovery_page","",""
"","713","Проверка перехода по клику на ""Конструктор""","tests","Fri Jun 20 11:03:45 MSK 2025","passed","Fri Jun 20 11:03:46 MSK 2025","TestMainPage","test_main_page","",""
"","0","Проверка перехода по клику на «История заказов»","","Fri Jun 20 10:55:16 MSK 2025","skipped","Fri Jun 20 10:55:16 MSK 2025","","","",""
"","1403","Проверка перехода по клику на ""Ленту заказов""","tests","Fri Jun 20 11:03:58 MSK 2025","passed","Fri Jun 20 11:03:59 MSK 2025","TestMainPage","test_main_page","",""
"","2211","Проверка выполнения логаута по кнопке ""Выйти""","tests","Fri Jun 20 10:59:33 MSK 2025","passed","Fri Jun 20 10:59:35 MSK 2025","TestAccountPage","test_account_page","",""
"","1625","Проверка перехода к восстановлению пароля при вводе валидного email и нажатии кнопки ""Восстановить""","tests","Fri Jun 20 11:06:32 MSK 2025","passed","Fri Jun 20 11:06:33 MSK 2025","TestPasswdRecoveryPage","test_password_recovery_page","",""
"","2584","Проверка маскировки пароля в поле ввода после двух кликов на иконку с глазом","tests","Fri Jun 20 11:07:33 MSK 2025","passed","Fri Jun 20 11:07:36 MSK 2025","TestPasswdRecoveryPage","test_password_recovery_page","",""
"","6968","Залогиненный пользователь может оформить заказ","tests","Fri Jun 20 11:05:46 MSK 2025","passed","Fri Jun 20 11:05:53 MSK 2025","TestMainPage","test_main_page","",""
"","17324","Проверка появления нового заказа в разделе ""В работе""","tests","Fri Jun 20 11:02:42 MSK 2025","broken","Fri Jun 20 11:02:59 MSK 2025","TestFeedPage","test_feed_page","",""
"","769","Проверка перехода по клику на ""Конструктор""","tests","Fri Jun 20 11:03:34 MSK 2025","passed","Fri Jun 20 11:03:35 MSK 2025","TestMainPage","test_main_page","",""
"","20718","Проверка открытия всплывающего окна с деталями при клике на заказ","tests","Fri Jun 20 10:59:58 MSK 2025","broken","Fri Jun 20 11:00:19 MSK 2025","TestFeedPage","test_feed_page","",""
